year,rows,nonmissing_si_ratio,mean_age_days,min_age_days
2010,252000,0.9761547619047619,6.507981999341439,0.0
2011,251999,0.9807181774530851,7.395787812575868,0.0
2012,249999,0.9820519282077128,6.877211704519535,0.0
2013,251999,0.9854801011115123,8.01721832970927,0.0
2014,252000,0.9869087301587302,7.410911094044656,0.0
2015,251998,0.9893491218184272,7.315670199026128,0.0
2016,251998,0.9894086461003658,7.480746323131284,0.0
2017,251000,0.9900996015936255,7.392185582359214,0.0
2018,250999,0.98811947457958,7.474987601656338,0.0
2019,251995,0.9939443242921486,6.891563427010928,0.0
2020,253000,0.9954505928853755,6.97571163673471,0.0
2021,252000,0.9959761904761905,6.779194855489948,0.0
2022,250999,0.998306766162415,7.315723099762944,0.0
2023,249985,0.9972238334300058,6.8435162119771675,0.0
2024,252000,0.9981944444444445,7.4839849728676775,0.0
