year,aum_level,earn_window_share
2010,1b,0.012809523809523809
2010,250m,0.012809523809523809
2010,50m,0.012809523809523809
2011,1b,0.022472311398061103
2011,250m,0.022472311398061103
2011,50m,0.022472311398061103
2012,1b,0.021436085744342977
2012,250m,0.021436085744342977
2012,50m,0.021436085744342977
2013,1b,0.018599280155873633
2013,250m,0.018599280155873633
2013,50m,0.018599280155873633
2014,1b,0.02300793650793651
2014,250m,0.02300793650793651
2014,50m,0.02300793650793651
2015,1b,0.036420923975587105
2015,250m,0.036420923975587105
2015,50m,0.036420923975587105
2016,1b,0.03766696561083818
2016,250m,0.03766696561083818
2016,50m,0.03766696561083818
2017,1b,0.038864541832669325
2017,250m,0.038864541832669325
2017,50m,0.038864541832669325
2018,1b,0.04003203200012749
2018,250m,0.04003203200012749
2018,50m,0.04003203200012749
2019,1b,0.040798428540248816
2019,250m,0.040798428540248816
2019,50m,0.040798428540248816
2020,1b,0.041620553359683794
2020,250m,0.041620553359683794
2020,50m,0.041620553359683794
2021,1b,0.04340079365079365
2021,250m,0.04340079365079365
2021,50m,0.04340079365079365
2022,1b,0.04460973948103379
2022,250m,0.04460973948103379
2022,50m,0.04460973948103379
2023,1b,0.046094765685941154
2023,250m,0.046094765685941154
2023,50m,0.046094765685941154
2024,1b,0.04701190476190476
2024,250m,0.04701190476190476
2024,50m,0.04701190476190476
