year,stock_days,earnings_window_stock_days,earnings_window_share
2010,252000,3228,0.012809523809523809
2011,251999,5663,0.022472311398061103
2012,249999,5359,0.021436085744342977
2013,251999,4687,0.018599280155873633
2014,252000,5798,0.02300793650793651
2015,251998,9178,0.036420923975587105
2016,251998,9492,0.03766696561083818
2017,251000,9755,0.038864541832669325
2018,250999,10048,0.04003203200012749
2019,251995,10281,0.040798428540248816
2020,253000,10530,0.041620553359683794
2021,252000,10937,0.04340079365079365
2022,250999,11197,0.04460973948103379
2023,249985,11523,0.046094765685941154
2024,252000,11847,0.04701190476190476
