year,aum_level,ADV_ABSOLUTE_FAIL,ADV_CAPACITY_FAIL,EARN_WINDOW,MISSING_DATA,OK,PRICE_FAIL,VOL_FAIL,total_stock_days
2010,1b,36037,67790,1616,20000,123525,3032,0,252000
2010,250m,36037,8676,2354,20000,181901,3032,0,252000
2010,50m,36037,0,2478,20000,190453,3032,0,252000
2011,1b,30300,75920,3103,480,139577,2599,20,251999
2011,250m,30300,8317,4616,480,205667,2599,20,251999
2011,50m,30300,0,4819,480,213781,2599,20,251999
2012,1b,28965,77215,2942,580,136957,3322,18,249999
2012,250m,28965,7980,4384,580,204713,3322,55,249999
2012,50m,28965,0,4543,580,212534,3322,55,249999
2013,1b,20910,77535,2763,640,148351,1760,40,251999
2013,250m,20910,8478,3946,640,216225,1760,40,251999
2013,50m,20910,0,4141,640,224508,1760,40,251999
2014,1b,10335,73813,3813,640,161928,1471,0,252000
2014,250m,10335,5705,5342,640,228507,1471,0,252000
2014,50m,10335,0,5473,640,234081,1471,0,252000
2015,1b,5344,67848,6406,800,170606,994,0,251998
2015,250m,5344,3721,8798,800,232341,994,0,251998
2015,50m,5344,0,8974,800,235886,994,0,251998
2016,1b,5568,62690,6852,520,175189,1111,68,251998
2016,250m,5568,3016,9118,520,232597,1111,68,251998
2016,50m,5568,0,9243,520,235488,1111,68,251998
2017,1b,3558,55241,7381,560,183406,854,0,251000
2017,250m,3558,2106,9523,560,234399,854,0,251000
2017,50m,3558,0,9611,560,236417,854,0,251000
2018,1b,2369,41752,8212,560,197645,440,21,250999
2018,250m,2369,627,9942,560,237031,440,30,250999
2018,50m,2369,0,9964,560,237633,440,33,250999
2019,1b,997,45270,8148,640,195816,1048,76,251995
2019,250m,997,565,10220,640,238449,1048,76,251995
2019,50m,997,0,10251,640,238983,1048,76,251995
2020,1b,1682,40439,8506,640,199747,738,1248,253000
2020,250m,1682,560,10405,640,237583,738,1392,253000
2020,50m,1682,0,10440,640,238108,738,1392,253000
2021,1b,914,28712,9414,880,212046,5,29,252000
2021,250m,914,139,10920,880,239113,5,29,252000
2021,50m,914,0,10927,880,239245,5,29,252000
2022,1b,535,24774,9921,580,214824,306,59,250999
2022,250m,535,178,11154,580,238187,306,59,250999
2022,50m,535,0,11159,580,238360,306,59,250999
2023,1b,609,20780,10346,520,217292,366,72,249985
2023,250m,609,182,11484,520,236745,366,79,249985
2023,50m,609,0,11495,520,236916,366,79,249985
2024,1b,395,12658,11084,320,227312,110,121,252000
2024,250m,395,109,11821,320,239124,110,121,252000
2024,50m,395,0,11827,320,239227,110,121,252000
