year,aum_level,vol_fail
2010,1b,0.00029761904761904765
2010,250m,0.00029761904761904765
2010,50m,0.00029761904761904765
2011,1b,0.000289683689220989
2011,250m,0.000289683689220989
2011,50m,0.000289683689220989
2012,1b,0.00031200124800499204
2012,250m,0.00031200124800499204
2012,50m,0.00031200124800499204
2013,1b,0.00042063658982773744
2013,250m,0.00042063658982773744
2013,50m,0.00042063658982773744
2014,1b,0.00017857142857142857
2014,250m,0.00017857142857142857
2014,50m,0.00017857142857142857
2015,1b,0.0002579385550678974
2015,250m,0.0002579385550678974
2015,50m,0.0002579385550678974
2016,1b,0.0005238136810609608
2016,250m,0.0005238136810609608
2016,50m,0.0005238136810609608
2017,1b,0.00020717131474103586
2017,250m,0.00020717131474103586
2017,50m,0.00020717131474103586
2018,1b,0.00017928358280311875
2018,250m,0.00017928358280311875
2018,50m,0.00017928358280311875
2019,1b,0.00046826325919165063
2019,250m,0.00046826325919165063
2019,50m,0.00046826325919165063
2020,1b,0.005893280632411067
2020,250m,0.005893280632411067
2020,50m,0.005893280632411067
2021,1b,0.00015873015873015873
2021,250m,0.00015873015873015873
2021,50m,0.00015873015873015873
2022,1b,0.0002828696528671429
2022,250m,0.0002828696528671429
2022,50m,0.0002828696528671429
2023,1b,0.00040802448146888814
2023,250m,0.00040802448146888814
2023,50m,0.00040802448146888814
2024,1b,0.00048412698412698415
2024,250m,0.00048412698412698415
2024,50m,0.00048412698412698415
