year,mean_borrow_cost_annual_bps,median_borrow_cost_annual_bps,tier_c_share
2010,102.48476190476191,40.0,0.05075396825396825
2011,102.71707427410426,40.0,0.05095258314517121
2012,102.75721102884411,40.0,0.05099620398481594
2013,102.67072488382891,40.0,0.05087321775086409
2014,102.76,40.0,0.051
2015,102.75446630528813,40.0,0.050992468194192016
2016,102.7044659084596,40.0,0.050909134199477776
2017,102.75553784860558,40.0,0.051
2018,102.68949278682385,40.0,0.05090458527723218
2019,102.75521339709121,40.0,0.05099307525942975
2020,102.72,40.0,0.050956521739130435
2021,102.71,40.0,0.050916666666666666
2022,102.74128582185587,40.0,0.05099621910844266
2023,102.73032381942916,40.0,0.050959057543452604
2024,102.76,40.0,0.051
