capacity_ratio_threshold,aum_level,eligible_names_mean_daily,eligible_stock_days,percentage_retained
0.0,50m,919.4512519978689,3451620,0.9145857241616324
0.0,250m,919.4512519978689,3451620,0.9145857241616324
0.0,1b,919.4512519978689,3451620,0.9145857241616324
0.1,50m,919.4512519978689,3451620,0.9145857241616324
0.1,250m,919.4512519978689,3451620,0.9145857241616324
0.1,1b,866.6957911561002,3253576,0.8621094332733347
0.25,50m,919.4512519978689,3451620,0.9145857241616324
0.25,250m,906.3883857218966,3402582,0.9015919836161963
0.25,1b,720.3572189664358,2704221,0.7165452516725751
0.5,50m,919.4512519978689,3451620,0.9145857241616324
0.5,250m,840.8090037293554,3156397,0.8363596328641635
0.5,1b,561.7578582844966,2108839,0.5587851628960583
1.0,50m,919.4512519978689,3451620,0.9145857241616324
1.0,250m,720.3572189664358,2704221,0.7165452516725751
1.0,1b,386.9917421417155,1452767,0.38494386946799536
