feature,coefficient,ridge_alpha
overnight_ret_1d_lag1_z,0.0001215990262002495,10.0
intraday_ret_1d_lag1_z,-0.00032878385959466826,10.0
close_to_close_ret_1d_lag1_z,0.0007038722993127097,10.0
ret_3d_lag1_z,-5.641575121161644e-05,10.0
ret_5d_lag1_z,3.792203905899836e-06,10.0
resid_intraday_ret_1d_lag1_z,0.00032151002173095563,10.0
resid_close_to_close_ret_1d_lag1_z,-0.0007416169005904505,10.0
volume_ratio_20d_lag1_z,0.00041401587728035643,10.0
dollar_volume_ratio_20d_lag1_z,-0.0004149950788618142,10.0
high_low_range_lag1_z,5.3654470491504777e-05,10.0
realized_vol_20d_lag1_z,8.958725899326094e-05,10.0
abs_intraday_shock_lag1_z,-6.705150987866286e-06,10.0
log_adv20_dollar_lag1_z,3.13781578187075e-05,10.0
dsi_pit_z,5.987379918178621e-05,10.0
dtcn_pit_z,-4.079863708419314e-05,10.0
ddtcn_pit_z,-5.725195052277083e-06,10.0
htb_score_pct_pit_z,-6.260987974210383e-05,10.0
borrow_bps_pa_z,-2.1011694882346646e-05,10.0
log_market_cap_lag1_z,-5.1259078017607225e-05,10.0
adv20_dollar_z,5.8074426527094155e-05,10.0
