period,n_days,gross_return,net_return,gross_cumulative_return,net_cumulative_return,gross_sharpe,net_sharpe,max_drawdown,turnover,cost_drag,deployed_gross_ratio,capacity_binding_frequency,avg_long_names,avg_short_names,aum_level,basket_frac,weighting,short_treatment
train,2244,0.033360291146868226,0.00806015465723453,0.33939480164163793,0.07410316609929568,1.5804264587433767,0.3950154791352082,-0.09863294796618527,0.44824115420335386,0.024790639222251314,0.22412057710167693,1.0,8.282085561497325,8.282085561497325,250m,0.01,equal,tiered
validation,757,0.1620857691266595,0.10846365721390194,0.5702667338981862,0.36251672506795307,1.9876065777703082,1.3777632456459996,-0.04988862222259549,0.8360840762719021,0.04727967025504991,0.41804203813595103,1.0,8.763540290620872,8.763540290620872,250m,0.01,equal,tiered
development_test,752,0.05899136545403483,0.0072737683583570245,0.18653933327275252,0.021862852431156155,0.8815561218504386,0.14121722955318788,-0.08798684525262379,0.9042408643755401,0.050088125487968434,0.45212043218777004,1.0,8.772606382978724,8.772606382978724,250m,0.01,equal,tiered
train,2244,0.06617149186210214,0.0009503578117402434,0.7692670755598479,0.008494567094452288,2.057681832827683,0.04595241106481312,-0.18592068307641296,1.1499052535206566,0.06313180876933416,0.5749526267603283,1.0,21.490641711229948,21.490641711229948,250m,0.025,equal,tiered
validation,757,0.18572301479821385,0.07510423664705823,0.6681816246386107,0.24301544137445563,1.579923844239007,0.7035796958448866,-0.1219855674294551,1.7443191800555116,0.09798758766331159,0.8721595900277558,1.0,23.09114927344782,23.09114927344782,250m,0.025,equal,tiered
development_test,752,0.04768623493135227,-0.05087429268105825,0.14913905004736794,-0.14428104862281188,0.6308386271416697,-0.6241047764247722,-0.20581196021121695,1.7824883500751438,0.09880167729723133,0.8912441750375719,1.0,23.11968085106383,23.11968085106383,250m,0.025,equal,tiered
train,2244,0.09897189507528403,-0.007585391405688924,1.3172654665672479,-0.06555600950738938,2.6313914415899946,-0.19265788407356418,-0.2260030181348356,1.8646111380574553,0.10200615069716418,0.9323055690287276,1.0,43.49064171122995,43.49064171122995,250m,0.05,equal,tiered
validation,757,0.13798516142109918,0.018270008280198757,0.47445852847356673,0.05589336152806523,1.4685004610276173,0.24435311446393057,-0.16200373160603176,1.9950075086266401,0.1111845473696961,0.9975037543133201,1.0,46.751651254953764,46.751651254953764,250m,0.05,equal,tiered
development_test,752,0.030007896835712256,-0.07848479869524871,0.0922394153263153,-0.21644233473704988,0.46783607254606,-1.1651370045671043,-0.24593634413203003,1.9987337130481087,0.11129075451387319,0.9993668565240543,1.0,46.9281914893617,46.9281914893617,250m,0.05,equal,tiered
train,2244,0.09550339206517067,-0.017688253539398624,1.2529461108618225,-0.14693486105616926,3.0404867755424285,-0.5767115240336648,-0.2181710349415633,1.999916571183897,0.10907616914853471,0.9999582855919485,1.0,87.4933155080214,87.4933155080214,250m,0.1,equal,tiered
validation,757,0.10735109530381148,-0.007994642954250342,0.3584127655198035,-0.02382379080814434,1.4307869910057276,-0.07335043346585896,-0.1605165248402899,2.0,0.1100168984114126,1.0,1.0,93.98811096433289,93.98811096433289,250m,0.1,equal,tiered
development_test,752,0.019264950819337434,-0.08685022201365689,0.058594736783132984,-0.2374780132435581,0.37301943269867116,-1.616854501279521,-0.24720328545036552,2.0,0.10992101712438196,1.0,1.0,94.37101063829788,94.37101063829788,250m,0.1,equal,tiered
